legend,step,pwr,,76.1077233333334
Minimum,716,75.37,,
Minimum,717,74.99,,
Minimum,718,75.83,,
Minimum,719,74.93,,
Minimum,720,74.98,,
Minimum,721,75.52,,
Minimum,722,75.55,,
Minimum,723,75.9,,
Minimum,724,74.75,,
Minimum,725,76.09,,
Minimum,726,76.82,,
Minimum,727,75.45,,
Minimum,728,75.58,,
Minimum,729,74.25,,
Minimum,730,75.92,,
Minimum,731,74.98,,
Minimum,732,75.1,,
Minimum,733,76.77,,
Minimum,734,74.55,,
Minimum,735,74.21,,
Minimum,736,75.34,,
Minimum,737,75.08,,
Minimum,738,76.04,,
Minimum,739,74.66,,
Minimum,740,75.94,,
Minimum,741,74.89,,
Minimum,742,75.27,,
Minimum,743,75.2,,
Minimum,744,74.85,,
Minimum,745,76.37,,
Minimum,746,76.81,,
Minimum,747,74.35,,
Minimum,748,75.64,,
Minimum,749,77.19,,
Minimum,750,74.86,,
Minimum,751,74.38,,
Minimum,752,76.07,,
Minimum,753,76.72,,
Minimum,754,76.68,,
Minimum,755,78.72,,
Minimum,756,77.27,,
Minimum,757,77.31,,
Minimum,758,76.5,,
Minimum,759,77.15,,
Minimum,760,76.61,,
Minimum,761,76.17,,
Minimum,762,78.76,,
Minimum,763,77.54,,
Minimum,764,76.58,,
Minimum,765,75.27,,
Minimum,766,75.95,,
Minimum,767,75.36,,
Minimum,768,76.03,,
Minimum,769,76.06,,
Minimum,770,75.73,,
Minimum,771,75.65,,
Minimum,772,76.98,,
Minimum,773,75.01,,
Minimum,774,75.36,,
Minimum,775,77.38,,
Minimum,776,76.37,,
Minimum,777,76.01,,
Minimum,778,77.73,,
Minimum,779,77.01,,
Minimum,780,77.05,,
Minimum,781,77.45,,
Minimum,782,77,,
Minimum,783,77.78,,
Minimum,784,75.95,,
Minimum,785,77.36,,
Minimum,786,77.38,,
Minimum,787,76.98,,
Minimum,788,75.85,,
Minimum,789,78.07,,
Minimum,790,75.77,,
Minimum,791,78.18,,
Minimum,792,76.05,,
Minimum,793,76.39,,
Minimum,794,75.05,,
Minimum,795,76.93,,
Minimum,796,76.73,,
Minimum,797,76.27,,
Minimum,798,76.31,,
Minimum,799,76.25,,
Minimum,800,76.43,,
Minimum,801,78.53,,
Minimum,802,76.58,,
Minimum,803,76.62,,
Minimum,804,75.24,,
Minimum,805,73.74,,
Minimum,806,76.62,,
Minimum,807,73.49,,
Minimum,808,74.78,,
Minimum,809,75.77,,
Minimum,810,75.04,,
Minimum,811,76.2,,
Minimum,812,74.91,,
Minimum,813,74.72,,
Minimum,814,74.72,,
Minimum,815,75.53,,
Minimum,816,74.97,,
Minimum,817,76.22,,
Minimum,818,75.47,,
Minimum,819,77.03,,
Minimum,820,76.96,,
Minimum,821,77.2,,
Minimum,822,77.05,,
Minimum,823,76.59,,
Minimum,824,75.89,,
Minimum,825,77.69,,
Minimum,826,77.76,,
Minimum,827,76.14,,
Minimum,828,78.96,,
Minimum,829,75.82,,
Minimum,830,76.6,,
Minimum,831,78.2,,
Minimum,832,76.35,,
Minimum,833,77.65,,
Minimum,834,76.46,,
Minimum,835,76.6,,
Minimum,836,76.32,,
Minimum,837,76.7,,
Minimum,838,74.91,,
Minimum,839,76.91,,
Minimum,840,77.28,,
Minimum,841,76.12,,
Minimum,842,76.29,,
Minimum,843,76.17,,
Minimum,844,75.79,,
Minimum,845,76.42,,
Minimum,846,75.61,,
Minimum,847,76.05,,
Minimum,848,75.85,,
Minimum,849,75.34,,
Minimum,850,77.69,,
Minimum,851,75.51,,
Minimum,852,77.59,,
Minimum,853,75.39,,
Minimum,854,76.85,,
Minimum,855,73.78,,
Minimum,856,76.32,,
Minimum,857,74.91,,
Minimum,858,75.08,,
Minimum,859,75.44,,
Minimum,860,75.17,,
Minimum,861,76.19,,
Minimum,862,75.2,,
Minimum,863,76.35,,
Minimum,864,75.36,,
Minimum,865,76.22,,
Minimum,866,76.57,,
Minimum,867,74.9,,
Minimum,868,76.43,,
Minimum,869,75.63,,
Minimum,870,75.64,,
Minimum,871,74.6,,
Minimum,872,75.96,,
Minimum,873,73.71,,
Minimum,874,77.07,,
Minimum,875,75.06,,
Minimum,876,75.15,,
Minimum,877,75.67,,
Minimum,878,75.3,,
Minimum,879,76.45,,
Minimum,880,75.01,,
Minimum,881,74.19,,
Minimum,882,75.28,,
Minimum,883,75.56,,
Minimum,884,74.18,,
Minimum,885,75.64,,
Minimum,886,76.66,,
Minimum,887,75.87,,
Minimum,888,75.05,,
Minimum,889,77.59,,
Minimum,890,75.27,,
Minimum,891,76.64,,
Minimum,892,75.36,,
Minimum,893,75.62,,
Minimum,894,76.74,,
Minimum,895,76.02,,
Minimum,896,75.99,,
Minimum,897,76.13,,
Minimum,898,75.91,,
Minimum,899,76.06,,
Minimum,900,75.06,,
Minimum,901,75.68,,
Minimum,902,75.39,,
Minimum,903,76.15,,
Minimum,904,74.56,,
Minimum,905,77.48,,
Minimum,906,76.32,,
Minimum,907,75.36,,
Minimum,908,74.76,,
Minimum,909,75.91,,
Minimum,910,74.94,,
Minimum,911,76.97,,
Minimum,912,75.03,,
Minimum,913,76.82,,
Minimum,914,74.34,,
Minimum,915,76.01,,
Minimum,916,76.26,,
Minimum,917,75.39,,
Minimum,918,76.46,,
Minimum,919,75.17,,
Minimum,920,76.88,,
Minimum,921,75.22,,
Minimum,922,75.27,,
Minimum,923,76.53,,
Minimum,924,75.05,,
Minimum,925,74.98,,
Minimum,926,76.42,,
Minimum,927,74.23,,
Minimum,928,77.34,,
Minimum,929,74.71,,
Minimum,930,75.22,,
Minimum,931,75.74,,
Minimum,932,75.03,,
Minimum,933,75.86,,
Minimum,934,75.01,,
Minimum,935,74.47,,
Minimum,936,75.63,,
Minimum,937,76.08,,
Minimum,938,74.89,,
Minimum,939,75.61,,
Minimum,940,75.47,,
Minimum,941,75.38,,
Minimum,942,76.08,,
Minimum,943,76.33,,
Minimum,944,75.36,,
Minimum,945,74.76,,
Minimum,946,73.64,,
Minimum,947,76.31,,
Minimum,948,73.6,,
Minimum,949,76.26,,
Minimum,950,75.45,,
Minimum,951,76.05,,
Minimum,952,76.04,,
Minimum,953,76.46,,
Minimum,954,76.87,,
Minimum,955,77.92,,
Minimum,956,75.86,,
Minimum,957,78.67,,
Minimum,958,77.4,,
Minimum,959,76.41,,
Minimum,960,77.23,,
Minimum,961,77.25,,
Minimum,962,76.8,,
Minimum,963,76.87,,
Minimum,964,76.79,,
Minimum,965,75.96,,
Minimum,966,76.29,,
Minimum,967,77.25,,
Minimum,968,75.41,,
Minimum,969,75.88,,
Minimum,970,76.16,,
Minimum,971,74.87,,
Minimum,972,76.46,,
Minimum,973,75.37,,
Minimum,974,75.01,,
Minimum,975,75.41,,
Minimum,976,75.43,,
Minimum,977,75.41,,
Minimum,978,75.15,,
Minimum,979,74.36,,
Minimum,980,76.06,,
Minimum,981,75.06,,
Minimum,982,75.27,,
Minimum,983,76.05,,
Minimum,984,76.57,,
Minimum,985,76.98,,
Minimum,986,77.15,,
Minimum,987,77.43,,
Minimum,988,77.16,,
Minimum,989,77.02,,
Minimum,990,75.9,,
Minimum,991,77.84,,
Minimum,992,77.39,,
Minimum,993,76.91,,
Minimum,994,77.24,,
Minimum,995,76.46,,
Minimum,996,79.31,,
Minimum,997,76.28,,
Minimum,998,77.08,,
Minimum,999,76.32,,
Minimum,1000,77.3,,
Minimum,1001,78.08,,
Minimum,1002,76.29,,
Minimum,1003,76.39,,
Minimum,1004,78,,
Minimum,1005,76.05,,
Minimum,1006,77.84,,
Minimum,1007,77.89,,
Minimum,1008,77.11,,
Minimum,1009,76.11,,
Minimum,1010,77.31,,
Minimum,1011,76.26,,
Minimum,1012,77.47,,
Minimum,1013,76.32,,
Minimum,1014,75.52,,
Minimum,1015,78.32,,
Minimum,1016,74.85,,
Minimum,1017,77.3,,
Minimum,1018,75.71,,
Minimum,1019,78.21,,
Minimum,1020,74.95,,
Minimum,1021,77.14,,
Minimum,1022,75.95,,
Minimum,1023,76.07,,
Minimum,1024,75.32,,
Minimum,1025,76.19,,
