legend,step,pwr
Minimum,1086,74.15
Minimum,1087,75.4
Minimum,1088,74.97
Minimum,1089,74.24
Minimum,1090,75.23
Minimum,1091,74.18
Minimum,1092,75.56
Minimum,1093,74.08
Minimum,1094,75.78
Minimum,1095,73.25
Minimum,1096,76.08
Minimum,1097,75.1
Minimum,1098,74.68
Minimum,1099,74.82
Minimum,1100,73.69
Minimum,1101,74.52
Minimum,1102,74.02
Minimum,1103,75.84
Minimum,1104,73.58
Minimum,1105,74.72
Minimum,1106,74.63
Minimum,1107,75.05
Minimum,1108,74.95
Minimum,1109,73.75
Minimum,1110,74.58
Minimum,1111,74.83
Minimum,1112,74.38
Minimum,1113,75.49
Minimum,1114,74.8
Minimum,1115,75.24
Minimum,1116,74.03
Minimum,1117,74.93
Minimum,1118,74.22
Minimum,1119,74.18
Minimum,1120,73.69
Minimum,1121,75.16
Minimum,1122,75.46
Minimum,1123,76.48
Minimum,1124,74.09
Minimum,1125,75.0
Minimum,1126,75.0
Minimum,1127,73.26
Minimum,1128,74.66
Minimum,1129,73.7
Minimum,1130,74.45
Minimum,1131,75.36
Minimum,1132,73.88
Minimum,1133,75.11
Minimum,1134,74.32
Minimum,1135,74.21
Minimum,1136,74.08
Minimum,1137,74.95
Minimum,1138,74.94
Minimum,1139,73.93
Minimum,1140,75.15
Minimum,1141,73.84
Minimum,1142,74.52
Minimum,1143,74.46
Minimum,1144,73.01
Minimum,1145,76.11
Minimum,1146,73.88
Minimum,1147,75.4
Minimum,1148,74.45
Minimum,1149,74.69
Minimum,1150,74.62
Minimum,1151,74.5
Minimum,1152,76.29
Minimum,1153,75.23
Minimum,1154,75.52
Minimum,1155,72.83
Minimum,1156,75.68
Minimum,1157,75.15
Minimum,1158,73.57
Minimum,1159,74.38
Minimum,1160,75.31
Minimum,1161,73.9
Minimum,1162,76.98
Minimum,1163,74.86
Minimum,1164,74.07
Minimum,1165,75.03
Minimum,1166,73.65
Minimum,1167,75.15
Minimum,1168,74.54
Minimum,1169,74.18
Minimum,1170,74.28
Minimum,1171,74.94
Minimum,1172,75.56
Minimum,1173,73.56
Minimum,1174,74.87
Minimum,1175,74.46
Minimum,1176,75.0
Minimum,1177,74.38
Minimum,1178,74.94
Minimum,1179,74.55
Minimum,1180,74.52
Minimum,1181,75.54
Minimum,1182,74.46
Minimum,1183,73.77
Minimum,1184,76.02
Minimum,1185,72.85
Minimum,1186,74.07
Minimum,1187,76.08
Minimum,1188,74.21
Minimum,1189,74.7
Minimum,1190,74.48
Minimum,1191,76.49
Minimum,1192,74.42
Minimum,1193,74.99
Minimum,1194,73.83
Minimum,1195,74.81
Minimum,1196,74.89
Minimum,1197,73.17
Minimum,1198,75.31
Minimum,1199,74.79
Minimum,1200,73.92
Minimum,1201,76.46
Minimum,1202,73.95
Minimum,1203,74.08
Minimum,1204,74.15
Minimum,1205,74.55
Minimum,1206,74.05
Minimum,1207,74.43
Minimum,1208,74.24
Minimum,1209,75.02
Minimum,1210,74.59
Minimum,1211,75.84
Minimum,1212,74.05
Minimum,1213,75.2
Minimum,1214,74.19
Minimum,1215,74.0
Minimum,1216,75.49
Minimum,1217,72.67
Minimum,1218,75.13
Minimum,1219,74.62
Minimum,1220,74.01
Minimum,1221,74.19
Minimum,1222,74.72
Minimum,1223,74.24
Minimum,1224,74.05
Minimum,1225,74.25
Minimum,1226,74.67
Minimum,1227,74.11
Minimum,1228,74.79
Minimum,1229,74.1
Minimum,1230,76.61
Minimum,1231,74.69
Minimum,1232,74.13
Minimum,1233,74.45
Minimum,1234,74.4
Minimum,1235,73.64
Minimum,1236,74.43
Minimum,1237,75.57
Minimum,1238,75.08
Minimum,1239,74.57
Minimum,1240,76.12
Minimum,1241,74.21
Minimum,1242,74.05
Minimum,1243,74.98
Minimum,1244,74.83
Minimum,1245,74.14
