seed,legend,step,snr,action_mcs,action_prb,mcs,prb,pwr,tbs,cum_regret,avg_regret
42,VITS - eta: 10,212,0.625,11.0,50.0,11.0,50.0,0.32885715,0.3416,9572.636,63.957413
42,VITS - eta: 10,213,0.63461536,11.0,70.0,11.0,70.0,0.42886874,0.47813332,9704.062,131.4254
42,VITS - eta: 10,214,0.625,17.0,70.0,11.0,70.0,0.42886874,0.47813332,9845.743,141.68204
42,VITS - eta: 10,215,0.6442308,25.0,85.0,12.0,85.0,0.46817097,0.6656,9969.77,124.02674
42,VITS - eta: 10,216,0.6442308,28.0,90.0,12.0,89.0,0.47401112,0.7,10100.655,130.88531
42,VITS - eta: 10,217,0.63461536,28.0,65.0,12.0,65.0,0.4294143,0.50373334,10163.75,63.094456
42,VITS - eta: 10,218,0.625,17.0,60.0,13.0,60.0,0.45483026,0.52933335,10231.301,67.55101
42,VITS - eta: 10,219,0.63461536,22.0,75.0,13.0,74.0,0.4579273,0.6488,10290.574,59.273827
42,VITS - eta: 10,220,0.63461536,9.0,95.0,9.0,93.0,0.3125,0.5632,10339.036,48.462383
42,VITS - eta: 10,221,0.625,27.0,55.0,9.0,54.0,0.31418183,0.33306667,10379.873,40.83655
42,VITS - eta: 10,222,0.63461536,29.0,65.0,10.0,65.0,0.36709332,0.3928,10418.75,38.876797
42,VITS - eta: 10,223,0.65384614,29.0,100.0,10.0,99.0,0.44009998,0.5976,10482.466,63.715595
42,VITS - eta: 10,224,0.625,28.0,70.0,10.0,70.0,0.3943,0.42693335,10542.98,60.51432
42,VITS - eta: 10,225,0.65384614,24.0,100.0,11.0,99.0,0.47500667,0.6656,10604.81,61.82926
42,VITS - eta: 10,226,0.63461536,11.0,75.0,11.0,74.0,0.43245918,0.50373334,10663.542,58.73289
42,VITS - eta: 10,227,0.63461536,12.0,60.0,12.0,59.0,0.39056924,0.46106666,10715.794,52.251972
42,VITS - eta: 10,228,0.63461536,28.0,95.0,12.0,93.0,0.50975555,0.7168,10764.183,48.389034
42,VITS - eta: 10,229,0.625,13.0,50.0,13.0,49.0,0.36015862,0.42693335,10795.407,31.225092
42,VITS - eta: 10,230,0.65384614,23.0,105.0,13.0,104.0,0.4679906,0.92186666,10832.748,37.3406
42,VITS - eta: 10,231,0.65384614,13.0,100.0,13.0,100.0,0.4679906,0.88773334,10852.106,19.358713
42,VITS - eta: 10,232,0.63461536,11.0,80.0,11.0,80.0,0.45554566,0.5464,10875.747,23.641075
42,VITS - eta: 10,233,0.625,10.0,60.0,10.0,59.0,0.330924,0.35866666,10901.586,25.838419
42,VITS - eta: 10,234,0.63461536,29.0,60.0,11.0,59.0,0.36580834,0.40133333,10934.027,32.44125
42,VITS - eta: 10,235,0.63461536,18.0,85.0,11.0,84.0,0.4403684,0.5632,10984.755,50.727833
42,VITS - eta: 10,236,0.65384614,9.0,105.0,9.0,104.0,0.3721375,0.632,11026.85,42.09452
42,VITS - eta: 10,237,0.6442308,27.0,80.0,9.0,79.0,0.26016316,0.47813332,11064.707,37.85791
